code;name;;en_name;de_desc;de_link;en_desc;en_link;de_syn;en_syn
199002;Feb.90;;Feb.90;;;;;;
199003;Mär.90;;Mar. 1990;;;;;;
199004;Apr.90;;Apr.90;;;;;;
199005;Mai.90;;May 1990;;;;;;
199006;Jun.90;;June 1990;;;;;;
199007;Jul.90;;July 1990;;;;;;
199008;Aug.90;;Aug.90;;;;;;
199009;Sep.90;;Sep.90;;;;;;
199010;Okt.90;;Oct. 1990;;;;;;
199011;Nov.90;;Nov.90;;;;;;
199012;Dez.90;;Dec. 1990;;;;;;
199101;Jän.91;;Jan. 1991;;;;;;
199102;Feb.91;;Feb.91;;;;;;
199103;Mär.91;;Mar. 1991;;;;;;
199104;Apr.91;;Apr.91;;;;;;
199105;Mai.91;;May 1991;;;;;;
199106;Jun.91;;June 1991;;;;;;
199107;Jul.91;;July 1991;;;;;;
199108;Aug.91;;Aug.91;;;;;;
199109;Sep.91;;Sep.91;;;;;;
199110;Okt.91;;Oct. 1991;;;;;;
199111;Nov.91;;Nov.91;;;;;;
199112;Dez.91;;Dec. 1991;;;;;;
199201;Jän.92;;Jan. 1992;;;;;;
199202;Feb.92;;Feb.92;;;;;;
199203;Mär.92;;Mar. 1992;;;;;;
199204;Apr.92;;Apr.92;;;;;;
199205;Mai.92;;May 1992;;;;;;
199206;Jun.92;;June 1992;;;;;;
199207;Jul.92;;July 1992;;;;;;
199208;Aug.92;;Aug.92;;;;;;
199209;Sep.92;;Sep.92;;;;;;
199210;Okt.92;;Oct. 1992;;;;;;
199211;Nov.92;;Nov.92;;;;;;
199212;Dez.92;;Dec. 1992;;;;;;
199301;Jän.93;;Jan. 1993;;;;;;
199302;Feb.93;;Feb.93;;;;;;
199303;Mär.93;;Mar. 1993;;;;;;
199304;Apr.93;;Apr.93;;;;;;
199305;Mai.93;;May 1993;;;;;;
199306;Jun.93;;June 1993;;;;;;
199307;Jul.93;;July 1993;;;;;;
199308;Aug.93;;Aug.93;;;;;;
199309;Sep.93;;Sep.93;;;;;;
199310;Okt.93;;Oct. 1993;;;;;;
199311;Nov.93;;Nov.93;;;;;;
199312;Dez.93;;Dec. 1993;;;;;;
199401;Jän.94;;Jan. 1994;;;;;;
199402;Feb.94;;Feb.94;;;;;;
199403;Mär.94;;Mar. 1994;;;;;;
199404;Apr.94;;Apr.94;;;;;;
199405;Mai.94;;May 1994;;;;;;
199406;Jun.94;;June 1994;;;;;;
199407;Jul.94;;July 1994;;;;;;
199408;Aug.94;;Aug.94;;;;;;
199409;Sep.94;;Sep.94;;;;;;
199410;Okt.94;;Oct. 1994;;;;;;
199411;Nov.94;;Nov.94;;;;;;
199412;Dez.94;;Dec. 1994;;;;;;
199501;Jän.95;;Jan. 1995;;;;;;
199502;Feb.95;;Feb.95;;;;;;
199503;Mär.95;;Mar. 1995;;;;;;
199504;Apr.95;;Apr.95;;;;;;
199505;Mai.95;;May 1995;;;;;;
199506;Jun.95;;June 1995;;;;;;
199507;Jul.95;;July 1995;;;;;;
199508;Aug.95;;Aug.95;;;;;;
199509;Sep.95;;Sep.95;;;;;;
199510;Okt.95;;Oct. 1995;;;;;;
199511;Nov.95;;Nov.95;;;;;;
199512;Dez.95;;Dec. 1995;;;;;;
199601;Jän.96;;Jan. 1996;;;;;;
199602;Feb.96;;Feb.96;;;;;;
199603;Mär.96;;Mar. 1996;;;;;;
199604;Apr.96;;Apr.96;;;;;;
199605;Mai.96;;May 1996;;;;;;
199606;Jun.96;;June 1996;;;;;;
199607;Jul.96;;July 1996;;;;;;
199608;Aug.96;;Aug.96;;;;;;
199609;Sep.96;;Sep.96;;;;;;
199610;Okt.96;;Oct. 1996;;;;;;
199611;Nov.96;;Nov.96;;;;;;
199612;Dez.96;;Dec. 1996;;;;;;
199701;Jän.97;;Jan. 1997;;;;;;
199702;Feb.97;;Feb.97;;;;;;
199703;Mär.97;;Mar. 1997;;;;;;
199704;Apr.97;;Apr.97;;;;;;
199705;Mai.97;;May 1997;;;;;;
199706;Jun.97;;June 1997;;;;;;
